0.29918	0.6707
0.30428	0.66171
0.30719	0.65657
0.30728	0.65641
0.30812	0.65494
0.3309	0.61487
0.33747	0.60341
0.35549	0.57244
0.36766	0.55217
0.3677	0.5521
0.36966	0.5489
0.37904	0.53393
0.40186	0.49966
0.40379	0.49687
0.40949	0.48874
0.41587	0.47973
0.43808	0.44955
0.4521	0.43231
0.46273	0.42037
0.47158	0.41118
0.4743	0.40849
0.47545	0.40737
0.49638	0.38872
0.5109	0.37747
0.51857	0.37203
0.53864	0.35937
0.54386	0.35644
0.56419	0.34643
0.56687	0.34527
0.5789	0.34056
0.58317	0.33906
0.61517	0.33018
0.61915	0.32934
0.62371	0.32845
0.65163	0.32444
0.65941	0.32375
0.66181	0.32357
0.66549	0.32334
0.70167	0.32375
0.70995	0.3246
0.71379	0.32508
0.72513	0.32677
0.74193	0.32988
0.75438	0.33253
0.7569	0.3331
0.76209	0.33428
0.7632	0.33454
0.7842	0.33966
0.78607	0.34014
0.80881	0.34628
0.8104	0.34673
0.81264	0.34737
0.82029	0.3496
0.82445	0.35084
0.85669	0.36113
0.86471	0.3639
0.87227	0.36659
0.87474	0.36749
0.88745	0.37226
0.90496	0.37927
0.90499	0.37928
0.91285	0.38261
0.92042	0.38593
0.92418	0.38763
0.9432	0.39666
0.94834	0.39923
0.95128	0.40073
0.97493	0.41344
0.98346	0.41833
0.99138	0.42302
0.99958	0.42803
1.01969	0.44101
1.0206	0.44163
1.04386	0.45803
1.05739	0.46831
1.05793	0.46873
1.0814	0.48802
1.09015	0.49566
1.09617	0.50105
1.10172	0.50612
1.1324	0.53548
1.13345	0.53651
1.13443	0.53748
1.15122	0.55401
1.16382	0.5661
1.16863	0.5707
1.1767	0.57851
1.20486	0.60739
1.20823	0.61099
1.21696	0.62043
1.23617	0.64161
1.23996	0.64584
1.24109	0.64711
1.25721	0.66525
1.2733	0.68356
1.29747	0.71136
1.29825	0.71227
1.31154	0.72772
1.31603	0.73297
1.33571	0.7561
1.34576	0.76802
1.37395	0.80186
1.3743	0.80229
1.37998	0.80919
1.38701	0.81778
1.39592	0.82875
1.41018	0.84654
1.41822	0.8567
1.43017	0.87204
1.44842	0.89619
1.45171	0.90064
1.45445	0.90438
1.48667	0.94993
1.49269	0.95875
1.49349	0.95992
1.5229	1.00317
1.53094	1.01478
1.5557	1.04915
1.55816	1.05245
1.56114	1.05641
1.56717	1.06433
1.59737	1.10292
1.59937	1.10543
1.60381	1.11098
1.61017	1.11892
1.61274	1.12212
1.63158	1.14548
1.63561	1.15047
1.65706	1.17703
1.66378	1.18538
1.6736	1.19761
1.67386	1.19793
1.69385	1.22306
1.69599	1.22576
1.71009	1.24374
1.72052	1.25722
1.72307	1.26054
1.7282	1.26725
1.73694	1.27879
1.74833	1.29399
1.76241	1.31304
1.7636	1.31465
1.77124	1.32511
1.78456	1.34349
1.7902	1.35132
1.79864	1.3631
1.81051	1.37974
1.81054	1.37979
1.8228	1.39705
1.82316	1.39756
1.83207	1.41013
1.83487	1.4141
1.85746	1.44596
1.85903	1.44818
1.86501	1.45657
1.87513	1.47074
1.88283	1.48145
1.88662	1.48669
1.89727	1.50134
1.91538	1.5259
1.91953	1.53147
1.92212	1.53494
1.9335	1.55004
1.95966	1.58407
1.96016	1.58472
1.97175	1.59947
1.99387	1.6271
1.99687	1.63079
2.00999	1.64678
2.01977	1.65856
2.02099	1.66002
2.02737	1.66761
2.0301	1.67085
2.03111	1.67205
2.04822	1.69221
2.04823	1.69222
2.06661	1.7138
2.07036	1.71822
2.07679	1.7258
2.08315	1.73336
2.08446	1.73492
2.08848	1.73972
2.09581	1.74855
2.10471	1.75942
2.11357	1.77044
2.1186	1.77681
2.13005	1.79172
2.13381	1.79676
2.14022	1.80554
2.14403	1.81091
2.14485	1.81207
2.15284	1.82375
2.16682	1.84542
2.17705	1.86214
2.18713	1.87912
2.19342	1.88983
2.21121	1.9194
2.21127	1.91951
2.21374	1.92338
2.22005	1.9329
2.22265	1.9366
2.23658	1.95425
2.2475	1.96579
2.25047	1.96863
2.25685	1.97439
2.27075	1.98557
2.27714	1.9903
2.28574	1.99643
2.28732	1.99754
2.28849	1.99837
2.28984	1.99933
2.29863	2.00562
2.29867	2.00565
