0.30428	0.26446
0.30719	0.25853
0.30728	0.25834
0.3309	0.21077
0.33747	0.19788
0.35549	0.16356
0.36766	0.14108
0.36966	0.13742
0.40186	0.08301
0.40379	0.08014
0.40949	0.07194
0.43808	0.03162
0.4521	0.00997
0.46273	-0.00563
0.4743	-0.01978
0.49638	-0.03824
0.5109	-0.04791
0.51857	-0.05303
0.53864	-0.06713
0.54386	-0.07067
0.56687	-0.08326
0.5789	-0.08678
0.58317	-0.08755
0.61517	-0.08931
0.61915	-0.08943
0.65163	-0.09026
0.65941	-0.08989
0.66549	-0.08931
0.70167	-0.08075
0.70995	-0.07831
0.71379	-0.07721
0.74193	-0.07012
0.75438	-0.0671
0.76209	-0.06512
0.7632	-0.06483
0.7842	-0.05875
0.78607	-0.05816
0.8104	-0.05001
0.81264	-0.0492
0.82029	-0.04641
0.82445	-0.04486
0.85669	-0.03187
0.86471	-0.02841
0.87227	-0.02509
0.88745	-0.01837
0.90496	-0.01072
0.90499	-0.01071
0.92042	-0.00414
0.9432	0.00627
0.94834	0.00889
0.95128	0.01045
0.97493	0.02447
0.98346	0.02997
0.99958	0.04069
1.01969	0.05429
1.0206	0.05492
1.04386	0.07092
1.05793	0.08073
1.09015	0.10417
1.09617	0.1088
1.10172	0.11315
1.1324	0.13867
1.13345	0.13958
1.13443	0.14045
1.16863	0.17186
1.1767	0.17975
1.20486	0.20886
1.20823	0.2125
1.21696	0.22207
1.23996	0.24797
1.24109	0.24926
1.25721	0.26741
1.2733	0.28521
1.29747	0.31276
1.29825	0.3137
1.31154	0.33014
1.31603	0.33586
1.33571	0.36113
1.34576	0.37381
1.37395	0.4095
1.37998	0.41745
1.38701	0.42688
1.39592	0.43892
1.41018	0.45787
1.41822	0.46816
1.44842	0.50624
1.45171	0.51051
1.45445	0.51412
1.48667	0.55763
1.49269	0.56574
1.5229	0.606
1.53094	0.61678
1.56114	0.65739
1.56717	0.66543
1.59737	0.70576
1.59937	0.70847
1.61017	0.72316
1.61274	0.72665
1.63158	0.75189
1.63561	0.75715
1.66378	0.79263
1.6736	0.80519
1.67386	0.80552
1.69385	0.83233
1.69599	0.83522
1.71009	0.85389
1.72052	0.86705
1.7282	0.87657
1.74833	0.90225
1.76241	0.92192
1.7636	0.92362
1.77124	0.93467
1.78456	0.95365
1.79864	0.97268
1.81051	0.9884
1.81054	0.98844
1.8228	1.00504
1.83207	1.01816
1.83487	1.0222
1.85746	1.0543
1.85903	1.05643
1.87513	1.07714
1.88662	1.0914
1.89727	1.1048
1.91538	1.12875
1.92212	1.13787
1.9335	1.15317
1.95966	1.18676
1.96016	1.18739
1.97175	1.20154
1.99387	1.22766
2.00999	1.24688
2.02099	1.26049
2.02737	1.26852
2.0301	1.27199
2.04822	1.29523
2.04823	1.29525
2.07036	1.32428
2.07679	1.33303
2.08315	1.3418
2.08446	1.34362
2.08848	1.34922
2.09581	1.35949
2.10471	1.37207
2.11357	1.38475
2.13005	1.40879
2.14022	1.42411
2.14485	1.43129
2.16682	1.46918
2.17705	1.48873
2.18713	1.50688
2.21121	1.54607
2.21127	1.54616
2.21374	1.54986
2.23658	1.58118
2.2475	1.59453
2.25685	1.60536
2.27714	1.62764
2.28574	1.63686
2.28984	1.64124
2.29867	1.65074
